Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
Lateral Neck Flexion,Suspended,No,Auxiliary,Isolated,Pull,Place belt or strap around end of suspension trainer. Hold belt in hand and stand away from suspension trainer so it hangs to one side. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to head above ear closest to suspension trainer. Step further away from suspension trainer until it is taut. Lean away at angle against support of belt and suspension trainer by positioning feet closer to side of suspension trainer while keeping head and body straight.,Lower angle of body by tilting head to side of suspension trainer. Increase angle of body by tilting head away from side of suspension trainer. Repeat and continue in opposite position.,"Sternocleidomastoid,","Splenius, Trapezius, Upper, Erector Spinae, Cervicis & Capitis Fibers, ",,,,Neck,2,"Sternocleidomastoid, Levator Scapulae",
Neck Extension,Cable,No,Basic or Auxiliary,Isolated,Pull,Sit on bench facing pulley. Place neck in harness cable attachment. Place forearms on lower thighs for support.,Move head away from pulley by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,"Splenius,","Trapezius, Upper, Levator Scapulae, Erector Spinae, Cervicis & Capitis Fibers, Sternocleidomastoid, Posterior Fibers, ","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Latissimus Dorsi, Rhomboids, Triceps Brachii, Coracobrachialis, ",,,Neck,2,"Upper Trapezius, Splenius",
Neck Extension,Lever (plate loaded),No,Basic or Auxiliary,Isolated,Pull,Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.,Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,"Splenius,","Trapezius, Upper, Levator Scapulae, Erector Spinae, Cervicis & Capitis Fibers, Sternocleidomastoid, Posterior Fibers, ","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Serratus Anterior, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,Neck,2,"Upper Trapezius, Splenius",
Neck Extension,Lever (selectorized),No,Basic or Auxiliary,Isolated,Pull,Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.,Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,"Splenius,","Trapezius, Upper, Levator Scapulae, Erector Spinae, Cervicis & Capitis Fibers, Sternocleidomastoid, Posterior Fibers, ","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Serratus Anterior, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",,,Neck,2,"Upper Trapezius, Splenius",
Seated Neck Extension,Weighted,No,Basic or Auxiliary,Isolated,Pull,"Place folded towel on weight plate. On bench or stool, sit bent over on thighs. With both hands, place plate(s) on back of head with towel placed in between for comfort.",Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.,"Splenius,","Trapezius, Upper, Levator Scapulae, Erector Spinae, Cervicis & Capitis Fibers, Sternocleidomastoid, Posterior Fibers, ","No significant stabilizers, ",,,Neck,2,"Upper Trapezius, Splenius",
Seated Neck Extension:  Harness,Weighted,Yes,Basic or Auxiliary,Isolated,Pull,Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over.,Move head up by hyperextending neck. Return by bending neck down until chin touches upper chest. Repeat.,"Splenius,","Trapezius, Upper, Levator Scapulae, Erector Spinae, Cervicis & Capitis Fibers, Sternocleidomastoid, Posterior Fibers, ","No significant stabilizers, ",,,Neck,3,"Upper Trapezius, Splenius",14
Neck Retraction,Band Resistive,No,Basic or Auxiliary,Isolated,Pull,Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over.,Move head up by hyperextending neck. Return by bending neck down until chin touches upper chest. Repeat.,"Splenius,","Trapezius, Upper, Levator Scapulae, Erector Spinae, Cervicis & Capitis Fibers, Sternocleidomastoid, Posterior Fibers, ","No significant stabilizers, ",,,Neck,1,"Splenius, Upper Trapezius",
Wall Rear Neck Bridge,Body Weight,No,Basic or Auxiliary,Isolated,Pull,Hold small or folded cushioned mat behind head. Facing away from wall or column position head and back of shoulders low on wall or column with mat between. Stand with feet far away from wall or column so body is angled back. Position hips and back straight and bend knees just slightly. Place arms to side or hold hands on abdomen.,Push head back into mat and roll head upward. Arch spine and straighten knees. Hyperextend neck so head is facing up. Return to original position by rolling head down while allowing low back to straighten and knees to bend slightly. Continue down until back of head and shoulders make contact with mat. Repeat.,"Splenius,","Trapezius, Upper, Levator Scapulae, Sternocleidomastoid, Posterior Fibers, Erector Spinae, Quadriceps, ","Gluteus Maximus, ",,,Neck,3,"Upper Trapezius, Erector Spinae",
Lying Neck Retraction,Isometric,No,Auxiliary,Isolated,Pull,Lie supine on mat.,Push head into mat and hold position. Relax and repeat.,"Splenius,","Trapezius, Upper, Levator Scapulae, Erector Spinae, Cervicis & Capitis Fibers, Longus capitis, Longus colli, Rectus capitus, ",,,,Neck,1,"Splenius, Upper Trapezius",
Neck Extension,Suspended,No,Basic or Auxiliary,Isolated,Pull,Place belt or strap around end of suspension trainer. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to forehead. Step back facing direction of suspension trainer until it is taut. Lean back at angle against support of belt and suspension trainer by stepping forward slightly while keeping head and body straight.,Lower angle of body by bowing head until chin is near upper chest. Increase angle of body by raising head. Repeat.,"Splenius,","Trapezius, Upper (Part 1), Erector Spinae, Cervicis & Capitis Fibers, ",,,,Neck,2,"Upper Trapezius, Splenius",
Front Raise,Barbell,No,Auxiliary,Isolated,Push,Grasp barbell with overhand grip with elbows straight or slightly bent.,Raise barbell forward and upward until upper arms are above horizontal. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",
Military Press,Barbell,No,Basic,Compound,Push,"Grasp barbell from rack orcleanbarbell from floor with overhand grip, slightly wider than shoulder width. Position bar in front of neck.",Press bar upward until arms are extended overhead. Lower to front of neck and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, Short Head, ",Shoulder,4,"Lateral Deltoid, Triceps Brachii",
Military Press:  Seated,Barbell,Yes,Basic,Compound,Push,Grasp barbell with slightly wider than shoulder width overhand grip from rack. Position bar near upper chest.,Press bar upward until arms are extended overhead. Return to upper chest and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",21
Front Raise,Cable,No,Auxiliary,Isolated,Push,Sit on seat above twin cable pulleys. Grasp stirrups on each side. Sit upright with arms straight down to each side with palms facing back.,Raise stirrups forward and upward until upper arms are well above horizontal. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",
Front Raise:  Alternating,Cable,Yes,Auxiliary,Isolated,Push,"Stand with low double pulleys behind. Grasp stirrup attachments, one in each hand. Stand away from pulley slightly with arms back somewhat at side and elbows straight or slightly bent.","Raise one stirrup forward and upward until upper arm is well above horizontal. Lower and repeat with opposite arm, alternating between arms.","Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",23
Front Raise:  One Arm,Cable,Yes,Auxiliary,Isolated,Push,Grasp stirrup attachment. Stand away from pulley slightly with arm back somewhat at side and elbow straight or slightly bent.,Raise stirrup forward and upward until upper arm is well above horizontal. Lower and repeat. Repeat with opposite arm.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",23
Shoulder Press,Cable,No,Basic or Auxiliary,Compound,Push,Stand between two low to medium height pulleys. Grasp cable stirrups from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.,Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
Shoulder Press:  Seated,Cable,Yes,Basic or Auxiliary,Compound,Push,Sit on seat and grasp stirrups from low to medium low position from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.,Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",26
Arnold Press,Dumbbell,No,Basic or Auxiliary,Compound,Push,"Stand with two dumbbells position in front of shoulders, palms facing body and elbows under wrists.",Initiate movement by bringing elbows out to sides. Continue to raise elbows outward while pressing dumbbells overhead until arms are straight. Lower to front of shoulders in opposite pattern and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, ",Shoulder,4,"Lateral Deltoid, Triceps Brachii",
Front Raise,Dumbbell,No,Auxiliary,Isolated,Push,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.,Raise dumbbells forward and upward until upper arms are above horizontal. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",
Front Raise:  Alternating,Dumbbell,Yes,Auxiliary,Isolated,Push,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.,"Raise one dumbbell forward and upward with palms positioned downward until upper arm is above horizontal. Lower and repeat with opposite arm, alternating between arms.","Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Anterior Deltoid, Serratus Anterior",29
Shoulder Press,Dumbbell,No,Basic,Compound,Push,Position dumbbells to each side of shoulders with elbows below wrists.,Press dumbbells upward until arms are extended overhead. Lower to sides of shoulders and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, Pectoralis Major, Clavicular, Coracobrachialis, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
Shoulder Press:  One Arm,Dumbbell,Yes,Basic or Auxiliary,Compound,Push,Stand with dumbbells positioned near shoulder with elbow below wrists.,Press dumbbell upward until arm is extended overhead. Lower to side of shoulder and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, Pectoralis Major, Clavicular, Coracobrachialis, Obliques, Psoas major, Iliocastalis lumborum, Iliocastalis thoracis, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",31
Military Press,Lever (plate loaded),No,Basic,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press lever until arms are extended upward. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,4,"Lateral Deltoid, Triceps Brachii",
Reclined Shoulder Press,Lever (plate loaded),No,Basic,Compound,Push,Lie on back pad facing up. Grasp lever handles on each side with overhand grip.,Press lever until arms are extended. Lower and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
Shoulder Press,Lever (plate loaded),No,Basic,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press lever upward until arms are extended overhead. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
Reclined Shoulder Press,Lever (selectorized)​​​​​​​,No,Basic,Compound,Push,Lie on back pad facing up. Grasp lever handles to each side with overhand grip.,Press lever until arms are extended. Lower and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
Shoulder Press,Lever (selectorized)​​​​​​​,No,Basic,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press lever upward until arms are extended overhead. Lower and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Pectoralis Major, Clavicular, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
Shoulder Press:  Parallel Grip,Lever (selectorized)​​​​​​​,Yes,Basic,Compound,Push,Sit on seat and grasp parallel bar grips in front of shoulders on each side.,Press lever upward until arms are extended overhead. Lower and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",37
Shoulder Press,Sled,No,Basic,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press handles upward until arms are extended overhead. Lower and repeat.,"Anterior Deltoid,","Deltoid, Lateral, Supraspinatus, Pectoralis Major, Clavicular, Triceps Brachii, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
Shoulder Press,Smith​​​​​​​,No,Basic,Compound,Push,Sit on bench with bar positioned in front of shoulders. Grasp bar with wide overhand grip. Disengage bar by rotating bar back.,Press bar upward until arms are extended overhead. Lower bar to front of shoulders and repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, ",,"Triceps, Long Head, Biceps Brachii, ",Shoulder,3,"Lateral Deltoid, Triceps Brachii",
Pike Press (between benches),Body Weight,No,Basic,Compound,Push,"Kneel on two benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches. With forefeet on opposite ends of bench, raise rear end high up with arms, back, and knees straight. Adjust feet so they are somewhat close to hands while keeping back and legs straight.",Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Serratus Anterior, Quadriceps, Iliopsoas, Tensor Fasciae Latae, Sartorius, Rectus Abdominis, Obliques, ",,,Shoulder,4,"Anterior Deltoid, Triceps Brachii",
Pike Press (between benches):  Elevated (between benches),Body Weight,Yes,Basic,Compound,Push,"Stand between two incline benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches and straighten arms. Position forefeet on opposite ends of bench. Raise rear end high up with arms, back, and knees straight.",Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Triceps Brachii, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Quadriceps, Iliopsoas, Tensor Fasciae Latae, Sartorius, Rectus Abdominis, Obliques, ",,,Shoulder,5,"Anterior Deltoid, Triceps Brachii",41
Front Raise,Suspended,No,Auxiliary,Isolated,Push,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight and palms facing downward.",Raise arms upward overhead by flexing shoulders with arms straight. Return and lower body back until arms are extended straight forward in original position. Repeat.,"Anterior Deltoid,","Pectoralis Major, Clavicular, Deltoid, Lateral, Coracobrachialis, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Erector Spinae, Gluteus Maximus, Hamstrings, Trapezius, Upper, Levator Scapulae, Wrist Extensors, ","Rectus Abdominis, Obliques, ",,Shoulder,2,"Anterior Deltoid, Serratus Anterior",
Upright Row,Barbell,No,Basic,Compound,Pull,Grasp bar with shoulder width or slightly narrower overhand grip.,Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,"Lateral Deltoid,","Deltoid, Anterior, Supraspinatus, Brachialis, Brachioradialis, Biceps Brachii, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, Infraspinatus, Teres Minor, ","Trapezius, Upper, Levator Scapulae, ",,,Shoulder,3,"Lateral Deltoid, Upper Trapezius",
Lateral Raise,Cable,No,Basic or Auxiliary,Isolated,Pull,"With low pulleys to each side, grasp left stirrup with right hand and right stirrup with left hand. Stand upright.","With elbows slightly bent, raise arms to sides   until elbows are shoulder height. Lower and repeat.","Lateral Deltoid,","Deltoid, Anterior, Supraspinatus, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Lateral Deltoid, Supraspinatus",
Lateral Raise:  One Arm,Cable,Yes,Basic or Auxiliary,Isolated,Pull,Grasp stirrup cable attachment. Stand facing with side of resting arm toward low pulley. Grasp ballet bar if available.,"With elbow slightly bent, raise arm to side away from low pulley until elbow is shoulder height. Lower and repeat.","Lateral Deltoid,","Deltoid, Anterior, Supraspinatus, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, ","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",,,Shoulder,2,"Lateral Deltoid, Supraspinatus",45
Upright Row,Cable,No,Basic,Compound,Pull,Grasp cable bar with shoulder width or slightly narrower overhand grip. Stand close to pulley.,Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,"Lateral Deltoid,","Deltoid, Anterior, Supraspinatus, Brachialis, Brachioradialis, Biceps Brachii, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, Infraspinatus, Teres Minor, ","Trapezius, Upper, Levator Scapulae, ",,,Shoulder,3,"Lateral Deltoid, Upper Trapezius",
Upright Row:  One Arm,Cable,Yes,Basic or Auxiliary,Compound,Pull,"Grasp stirrup on low pulley with overhand grip. Stand with side of arm with stirup away from pulley machine, arm against front of body. Place other hand on ballet bar or side of pulley column for support.",Pull stirup to front side of shoulder with elbow leading. Allow wrist to flex as stirrup is lifted. Lower and repeat.,"Lateral Deltoid,","Deltoid, Anterior, Supraspinatus, Brachialis, Brachioradialis, Biceps Brachii, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, Infraspinatus, Teres Minor, ","Trapezius, Upper, Levator Scapulae, ",,,Shoulder,3,"Lateral Deltoid, Upper Trapezius",47
Upright Row:  with rope,Cable,Yes,Basic,Compound,Pull,"Grasp each side of rope with overhand grip, just under rope ends. Stand close to pulley.",Pull rope ends to front of shoulders with elbows leading. Allow wrists to flex as stirrups are lifted. Lower and repeat.,"Lateral Deltoid,","Deltoid, Anterior, Supraspinatus, Brachialis, Brachioradialis, Biceps Brachii, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, Infraspinatus, Teres Minor, ","Trapezius, Upper, Levator Scapulae, ",,,Shoulder,3,"Lateral Deltoid, Upper Trapezius",47
